entity:sample_id	participant	bam	bamIndex	cellBarcode	vcf	vcfIndex	fasta	fastaIndex	output	snv_loci
su005_post_Malignant	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_post_RNA_barcodes_Malignant.tsv						
su005_post_Stromal	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_post_RNA_barcodes_Stromal.tsv						
su005_pre_Immune	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_pre_RNA_barcodes_Immune.tsv						
su005_pre_Malignant	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_pre_RNA_barcodes_Malignant.tsv						
su005_pre_Stromal	su005	gs://stanford-sc-rnaseq-bcc/merged_bams/su005_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su005_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su005_pre_RNA_barcodes_Stromal.tsv						
su006_post_Immune	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_post_RNA_barcodes_Immune.tsv						
su006_post_Malignant	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_post_RNA_barcodes_Malignant.tsv						
su006_post_Stromal	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_post_RNA_barcodes_Stromal.tsv						
su006_pre_Immune	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_pre_RNA_barcodes_Immune.tsv						
su006_pre_Malignant	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_pre_RNA_barcodes_Malignant.tsv						
su006_pre_Stromal	su006	gs://stanford-sc-rnaseq-bcc/merged_bams/su006_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su006_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su006_pre_RNA_barcodes_Stromal.tsv						
su007_post_Immune	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_post_RNA_barcodes_Immune.tsv						
su007_post_Malignant	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_post_RNA_barcodes_Malignant.tsv						
su007_post_Stromal	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_post_RNA_barcodes_Stromal.tsv						
su007_pre_Immune	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_pre_RNA_barcodes_Immune.tsv						
su007_pre_Malignant	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_pre_RNA_barcodes_Malignant.tsv						
su007_pre_Stromal	su007	gs://stanford-sc-rnaseq-bcc/merged_bams/su007_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su007_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su007_pre_RNA_barcodes_Stromal.tsv						
su008_post_Immune	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_post_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_post_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_post_RNA_barcodes_Immune.tsv						
su008_post_Malignant	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_post_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_post_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_post_RNA_barcodes_Malignant.tsv						
su008_post_Stromal	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_post_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_post_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_post_RNA_barcodes_Stromal.tsv						
su008_pre_Immune	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_pre_Immune.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_pre_Immune.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_pre_RNA_barcodes_Immune.tsv						
su008_pre_Malignant	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_pre_Malignant.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_pre_Malignant.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_pre_RNA_barcodes_Malignant.tsv						
su008_pre_Stromal	su008	gs://stanford-sc-rnaseq-bcc/merged_bams/su008_pre_Stromal.bam	gs://stanford-sc-rnaseq-bcc/merged_bais/su008_pre_Stromal.bam.bai	gs://stanford-sc-rnaseq-bcc/merged_cellbarcodes/su008_pre_RNA_barcodes_Stromal.tsv						
